--------- beginning of main
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.media.codec.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.powerstats is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.graphics.egl.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.media.audioserver is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.deviceidle is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.nfc is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.permission.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.service.voice.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.content.pm is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.power.hint is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.os is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.service.dreams is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.graphics.libgui.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.hardware.usb.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.provider is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.job is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.internal.foldables.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.internal.telephony.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.webkit is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.credentials.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.display.feature.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.notification is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.appwidget.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.frameworks.sensorservice.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.printspooler.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.window.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.adaptiveauth is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.net.wifi.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.media.tv.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.usb.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.os.vibrator is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.hardware.devicestate.feature.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.usage is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.server is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.wm.shell is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.view.inputmethod is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.graphics.hwui.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.server.backup is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: com.android.internal.pm.pkg.component.flags is mapped to system
11-27 09:16:38.758 14678 14678 I AconfigPackage: android.view.accessibility is mapped to system
11-27 09:16:38.759 14678 14678 I AconfigPackage: android.media.audio is mapped to system
11-27 09:16:38.759 14678 14678 I AconfigPackage: com.android.server.am is mapped to system
11-27 09:16:38.759 14678 14678 I AconfigPackage: com.android.media.playback.flags is mapped to system
